movie_id,director_id,name,gender
203119,4040,Robert Wuhl,2.0
172923,16401,Roberto Sneider,2.0
316098,223910,Jack Baxter,0.0
316098,1410160,Jefri Aalmuhammed,0.0
8011,53599,Andrew Morahan,2.0
171857,77076,Michael Corrente,2.0
2654,11770,John Carpenter,2.0
18069,16513,John G. Avildsen,2.0
19092,88060,Jeff Pollack,2.0
2758,5174,Barry Sonnenfeld,2.0
38129,15106,Thomas Schlamme,2.0
10436,1032,Martin Scorsese,2.0
13595,7145,Michael Lehmann,2.0
46094,12988,Paul Michael Glaser,2.0
9409,12840,John Badham,2.0
11853,42171,Jonathan Kaplan,2.0
16771,78188,Whit Stillman,2.0
46924,68687,Bill Forsyth,2.0
11041,58448,Penelope Spheeris,0.0
306,4610,John Landis,2.0
14522,1901,Caroline Thompson,1.0
26203,10781,Michael Apted,2.0
178,2042,Stephen Hopkins,2.0
19819,15175,William Friedkin,0.0
57834,32765,Tony Richardson,2.0
4722,39104,Abel Ferrara,2.0
18215,14800,Jennifer Chambers Lynch,1.0
1607,380,Robert De Niro,2.0
26391,57107,Adam Resnick,2.0
117553,61175,John Whitesell,2.0
6075,1150,Brian De Palma,2.0
11310,66548,Paul Weiland,2.0
18658,8843,Mick Jackson,2.0
9350,16938,Renny Harlin,2.0
9612,18308,Steve Barron,2.0
2124,21806,Richard Rush,2.0
26261,12964,Michael Ritchie,2.0
19176,27236,Gregg Champion,2.0
49299,39104,Abel Ferrara,2.0
11566,8858,Ivan Reitman,2.0
9571,564,Richard Linklater,2.0
9739,58838,Marco Brambilla,2.0
24257,86,Bruce Brown,2.0
34444,5216,Gus Van Sant,2.0
26141,1895,Carl Reiner,2.0
10997,20640,Chen Kaige,2.0
50463,18281,Donald Petrie,2.0
10443,2690,Peter Weir,2.0
20239,141825,Rusty Cundieff,2.0
16297,50949,Alek Keshishian,2.0
18551,10967,Steve Kloves,2.0
25440,17784,John Irvin,2.0
9024,5174,Barry Sonnenfeld,2.0
37233,2226,Sydney Pollack,2.0
1634,18254,Simon Wincer,0.0
13815,52358,Boaz Yakin,2.0
5503,12989,Andrew Davis,2.0
35588,1723,Walter Hill,2.0
2087,21370,Roger Donaldson,2.0
41579,26502,Howard Deutch,2.0
18620,172993,Rose Troche,1.0
41006,5696,Bruce Beresford,2.0
4916,39996,Sidney Lumet,2.0
2019,11401,John Woo,2.0
31642,1152,Oliver Stone,2.0
9255,12936,Jim Abrahams,2.0
26271,94996,Julianna Lavin,0.0
10612,65859,Christopher Monger,2.0
2259,19684,Bille August,2.0
16097,77733,Eric Meza,2.0
11934,1223,Joel Coen,0.0
106143,3388,James L. Brooks,2.0
12475,774,"Daniel Petrie, Jr.",2.0
9386,5231,Wolfgang Petersen,2.0
7984,53334,Jim Sheridan,2.0
59930,230059,Matty Rich,2.0
15765,18069,Brian Gibson,2.0
31643,8246,Barry Levinson,2.0
6,2042,Stephen Hopkins,2.0
329,488,Steven Spielberg,2.0
10909,58498,Dominic Sena,2.0
507,8297,Roger Avary,2.0
34024,1884,Steven Soderbergh,2.0
29918,40549,Daniel Petrie,2.0
9593,1090,John McTiernan,2.0
42580,90037,James Lapine,2.0
22317,18254,Simon Wincer,0.0
22317,57147,Paul Hogan,2.0
22317,71192,Greg Coote,2.0
1413,224,David Cronenberg,2.0
12121,24318,Richard Benjamin,2.0
2246,23213,Harold Becker,2.0
10502,2461,Mel Gibson,2.0
10440,1243,Woody Allen,2.0
9516,11447,Albert Hughes,2.0
9516,11448,Allen Hughes,2.0
2320,2523,Stuart Baird,2.0
5879,46230,Nagisa Ōshima,2.0
83718,119232,Tom Noonan,2.0
11971,11181,Kenneth Branagh,2.0
2625,6111,Mike Figgis,2.0
31911,2239,Anthony Minghella,2.0
788,10965,Chris Columbus,2.0
21450,65452,Mike Leigh,2.0
11231,56828,Christopher Cain,2.0
41588,16939,Michael Tolkin,2.0
10447,10702,Martin Campbell,2.0
31586,3026,Rob Reiner,2.0
9300,57206,Sally Potter,1.0
9559,190,Clint Eastwood,2.0
9800,16294,Jonathan Demme,2.0
713,10757,Jane Campion,1.0
8291,6482,John Singleton,2.0
18133,12920,David S. Ward,2.0
25557,29482,Stuart Orme,2.0
